date,estimated-transaction-volume-usd
2019-01-31,574609830.720808
2019-02-04,353232913.224304
2019-02-08,552614639.038452
2019-02-12,494313528.417058
2019-02-16,363956258.170098
2019-02-20,696700438.735942
2019-02-24,436413535.328223
2019-02-28,936111689.337251
2019-03-04,510664925.146437
2019-03-08,621749744.798023
2019-03-12,634318677.206897
2019-03-16,360840832.093826
2019-03-20,649248713.708245
2019-03-24,288672589.988115
2019-03-28,625086884.886481
2019-04-01,640470349.712981
2019-04-05,898533778.471696
2019-04-09,877070582.095037
2019-04-13,423377389.265318
2019-04-17,896458088.041183
2019-04-21,360713964.469088
2019-04-25,826381786.755593
2019-04-29,886065657.844522
2019-05-03,858064130.790705
2019-05-07,1041193668.85865
2019-05-11,890773875.557915
2019-05-15,1595050697.09695
2019-05-19,776463133.467301
2019-05-23,1180520164.76067
2019-05-27,1318870008.46283
2019-05-31,2139391264.47921
2019-06-04,2210912218.37581
2019-06-08,537539563.516134
2019-06-12,1164520570.45808
2019-06-16,1037160332.21346
2019-06-20,1190905553.64237
2019-06-24,1758426569.15256
2019-06-28,2653064698.96847
2019-07-02,1813299811.70937
2019-07-06,639979717.955877
2019-07-10,3158872124.78143
2019-07-14,880311916.429513
2019-07-18,1363791605.47841
2019-07-22,1027285548.46237
2019-07-26,993970297.737923
2019-07-30,1280347893.44335
2019-08-03,533502020.952203
2019-08-07,1528500615.47788
2019-08-11,577446710.735718
2019-08-15,1574111185.79898
2019-08-19,1023246904.67013
2019-08-23,2130991479.93793
2019-08-27,1295831266.79679
2019-08-31,536730722.744341
2019-09-04,1356552610.12157
2019-09-08,734442315.886497
2019-09-12,1811962087.02676
2019-09-16,1523428331.69289
2019-09-20,1752366741.2845
2019-09-24,3139283339.2161
2019-09-28,580178846.7763
2019-10-02,753518693.099858
2019-10-06,437929223.289477
2019-10-10,1061857762.2837
2019-10-14,1712938625.03762
2019-10-18,1046146449.48076
2019-10-22,996706690.858345
2019-10-26,1256366630.61245
2019-10-30,933497841.255334
2019-11-03,791930340.104973
2019-11-07,1410260957.176
2019-11-11,718863061.19166
2019-11-15,1199132985.11859
2019-11-19,923399726.065324
2019-11-23,1151153475.67428
2019-11-27,1513433741.15035
2019-12-01,410180206.361161
2019-12-05,829793365.229581
2019-12-09,984541456.77168
2019-12-13,910737705.988904
2019-12-17,1699726138.74945
2019-12-21,484021776.662792
2019-12-25,863528900.789981
2019-12-29,381265550.855148
2020-01-02,692062815.85965
2020-01-06,962060777.656326
2020-01-10,1280612805.31253
2020-01-14,2900956206.90936
2020-01-18,691951125.418206
2020-01-22,1252987750.19963
2020-01-26,375372746.97924
2020-01-30,1703649922.19753
2020-02-03,3506998581.29517
2020-02-07,1803840353.46757
2020-02-11,2306736286.50665
2020-02-15,1109593958.57004
2020-02-19,1880304367.67908
2020-02-23,737289757.885203
2020-02-27,2025910515.26091
2020-03-02,1226689506.9734
2020-03-06,1586746058.90616
2020-03-10,1642231325.0775
2020-03-14,1169201200.62799
2020-03-18,1087150158.46778
2020-03-22,707671399.167601
2020-03-26,982877529.995054
2020-03-30,1063117757.4694
2020-04-03,996027773.773442
2020-04-07,1534435754.21386
2020-04-11,467888135.693746
2020-04-15,1009167505.32317
2020-04-19,458165164.115702
2020-04-23,1287058107.13864
2020-04-27,1244890678.78536
2020-05-01,1977433108.12039
2020-05-05,1158788354.57839
2020-05-09,1891310409.07318
2020-05-13,1840743652.80359
2020-05-17,554234698.77281
2020-05-21,1827598465.30696
2020-05-25,2386079966.12279
2020-05-29,1652605318.46225
2020-06-02,2689299632.09421
2020-06-06,578237010.345349
2020-06-10,1185046064.64972
2020-06-14,459031700.888373
2020-06-18,1191197355.42604
2020-06-22,1369587319.75579
2020-06-26,1982165061.32764
2020-06-30,964046737.852914
2020-07-04,598371117.138459
2020-07-08,1582500913.17443
2020-07-12,481367498.713169
2020-07-16,1266988570.14269
2020-07-20,1056788376.71222
2020-07-24,1581504621.43281
2020-07-28,2732598812.18318
2020-08-01,1282524246.37756
2020-08-05,1382305624.12346
2020-08-09,819746332.084762
2020-08-13,1705063980.69705
2020-08-17,2046439654.49524
2020-08-21,1516606230.5688822
2020-08-25,1571905464.0375934
2020-08-29,936108106.0835737
2020-09-02,2108369094.4854293
2020-09-06,942632672.8111798
2020-09-10,1510201425.9578102
2020-09-14,1641329657.9907258
2020-09-18,1937356456.84136
2020-09-22,1620744900.8434787
2020-09-26,794309819.7184452
2020-09-30,1561125507.1341772
2020-10-04,634742572.527444
2020-10-08,1564119346.8517392
2020-10-12,1519550414.7656412
2020-10-16,1735871118.0383928
2020-10-20,1656442476.473881
2020-10-24,1019815578.520192
2020-10-28,2517314639.707993
2020-11-01,1188080329.7413285
2020-11-05,5149644713.046795
2020-11-09,2728063355.8702464
2020-11-13,2656697442.1882963
2020-11-17,3117390382.4550147
2020-11-21,2261632554.633789
2020-11-25,3581534995.903928
2020-11-29,1353406964.7056353
2020-12-03,2744199631.0179462
2020-12-07,2103990331.796725
2020-12-11,2913875514.564554
2020-12-15,3108771396.732216
2020-12-19,2768897617.388285
2020-12-23,6427851084.363599
2020-12-27,4714768342.628513
2020-12-31,5636631338.131147
2021-01-04,7503147813.225784
2021-01-08,8838843563.36015
2021-01-12,7357383072.698131
2021-01-16,2570302174.9651437
2021-01-20,5094690667.83868
2021-01-24,1966307038.6473134
2021-01-28,4988231552.939995
2021-02-01,4586348228.014149
2021-02-05,6157892770.648826
2021-02-09,10834628125.018213
2021-02-13,3676762390.3643637
2021-02-17,7740989999.164483
2021-02-21,7839947832.124444
2021-02-25,8084434721.151986
2021-03-01,5867267655.439818
2021-03-05,8571816585.961295
2021-03-09,7267886049.152834
2021-03-13,6252538514.7425
2021-03-17,6410069887.531584
2021-03-21,3654267039.161541
2021-03-25,7475059268.080135
2021-03-29,6604751298.088798
2021-04-02,6501984723.386886
2021-04-06,11383898953.539917
2021-04-10,6092856977.739401
2021-04-14,9467805074.32664
2021-04-18,11856647360.954725
2021-04-22,8500130355.892971
2021-04-26,6987267570.035969
2021-04-30,8038587266.254536
2021-05-04,7698193443.310121
2021-05-08,4620961715.6818495
2021-05-12,12953414263.347263
2021-05-16,5725518842.773768
2021-05-20,12059107969.11172
2021-05-24,7207897767.577337
2021-05-28,5453824455.071646
2021-06-01,5421714885.342989
2021-06-05,2192085664.632768
2021-06-09,4061991299.6894774
2021-06-13,1539743948.2780533
2021-06-17,3458321392.277408
2021-06-21,4751842584.489068
2021-06-25,4356792800.442628
